packet_number,source_mac,ssid,has_vendor_specific,is_drone_id
457,22:11:32:a5:2f:c9,CBJRGuest,true,false
458,16:11:32:a5:2f:c9,,true,false
459,00:11:32:a5:2f:c9,CBJR,true,false
460,22:11:32:a5:2f:c9,CBJRGuest,true,false
461,16:11:32:a5:2f:c9,,true,false
462,00:11:32:a5:2f:c9,CBJR,true,false
463,22:11:32:a5:2f:c9,CBJRGuest,true,false
464,16:11:32:a5:2f:c9,,true,false
465,00:11:32:a5:2f:c9,CBJR,true,false
466,22:11:32:a5:2f:c9,CBJRGuest,true,false
467,16:11:32:a5:2f:c9,,true,false
468,00:11:32:a5:2f:c9,CBJR,true,false
469,22:11:32:a5:2f:c9,CBJRGuest,true,false
470,16:11:32:a5:2f:c9,,true,false
472,00:11:32:a5:2f:c9,CBJR,true,false
473,22:11:32:a5:2f:c9,CBJRGuest,true,false
474,16:11:32:a5:2f:c9,,true,false
476,00:11:32:a5:2f:c9,CBJR,true,false
477,22:11:32:a5:2f:c9,CBJRGuest,true,false
478,16:11:32:a5:2f:c9,,true,false
479,00:11:32:a5:2f:c9,CBJR,true,false
480,22:11:32:a5:2f:c9,CBJRGuest,true,false
481,16:11:32:a5:2f:c9,,true,false
482,00:11:32:a5:2f:c9,CBJR,true,false
483,22:11:32:a5:2f:c9,CBJRGuest,true,false
484,16:11:32:a5:2f:c9,,true,false
488,00:11:32:a5:2f:c9,CBJR,true,false
489,22:11:32:a5:2f:c9,CBJRGuest,true,false
490,16:11:32:a5:2f:c9,,true,false
493,00:11:32:a5:2f:c9,CBJR,true,false
494,22:11:32:a5:2f:c9,CBJRGuest,true,false
495,16:11:32:a5:2f:c9,,true,false
499,00:11:32:a5:2f:c9,CBJR,true,false
500,22:11:32:a5:2f:c9,CBJRGuest,true,false
501,16:11:32:a5:2f:c9,,true,false
502,00:11:32:a5:2f:c9,CBJR,true,false
503,22:11:32:a5:2f:c9,CBJRGuest,true,false
504,16:11:32:a5:2f:c9,,true,false
505,00:11:32:a5:2f:c9,CBJR,true,false
506,22:11:32:a5:2f:c9,CBJRGuest,true,false
507,16:11:32:a5:2f:c9,,true,false
508,00:11:32:a5:2f:c9,CBJR,true,false
509,22:11:32:a5:2f:c9,CBJRGuest,true,false
510,16:11:32:a5:2f:c9,,true,false
511,00:11:32:a5:2f:c9,CBJR,true,false
512,22:11:32:a5:2f:c9,CBJRGuest,true,false
513,16:11:32:a5:2f:c9,,true,false
514,00:11:32:a5:2f:c9,CBJR,true,false
515,22:11:32:a5:2f:c9,CBJRGuest,true,false
516,16:11:32:a5:2f:c9,,true,false
517,00:11:32:a5:2f:c9,CBJR,true,false
518,22:11:32:a5:2f:c9,CBJRGuest,true,false
519,16:11:32:a5:2f:c9,,true,false
520,00:11:32:a5:2f:c9,CBJR,true,false
521,22:11:32:a5:2f:c9,CBJRGuest,true,false
522,16:11:32:a5:2f:c9,,true,false
524,00:11:32:a5:2f:c9,CBJR,true,false
525,22:11:32:a5:2f:c9,CBJRGuest,true,false
526,16:11:32:a5:2f:c9,,true,false
527,00:11:32:a5:2f:c9,CBJR,true,false
528,22:11:32:a5:2f:c9,CBJRGuest,true,false
529,16:11:32:a5:2f:c9,,true,false
